,user_id,session_id,views,carts,session_start
22,2665019534859039392,2665019534859039392-1483303005,3,2,2017-01-01 20:44:37.966000+00:00
23,4711284400595837937,4711284400595837937-1483303456,1,1,2017-01-01 20:49:33.330000+00:00
24,8371626437492187108,8371626437492187108-1483309415,3,1,2017-01-01 22:34:26.489000+00:00
25,4409697693294567990,4409697693294567990-1483311183,5,1,2017-01-01 22:53:41.648000+00:00
26,0400465595999829541,0400465595999829541-1483311756,4,1,2017-01-01 23:04:16.874000+00:00
27,3822045668242815153,3822045668242815153-1483312550,4,2,2017-01-01 23:17:54.986000+00:00
28,4265414736738759647,4265414736738759647-1483312846,1,2,2017-01-01 23:26:56.655000+00:00
29,9758129367995121172,9758129367995121172-1483314841,1,1,2017-01-01 23:55:29.579000+00:00
30,3028593710979218239,3028593710979218239-1483315276,3,1,2017-01-02 00:03:41.705000+00:00
31,1487912482264934623,1487912482264934623-1483315459,1,1,2017-01-02 00:05:12.359000+00:00
32,9953273735868796043,9953273735868796043-1483317661,2,2,2017-01-02 00:41:35.678000+00:00
33,4594319168982419109,4594319168982419109-1483320473,5,1,2017-01-02 01:28:49.925000+00:00
34,6129059309050021920,6129059309050021920-1483322154,6,8,2017-01-02 01:56:16.180000+00:00
35,0058518606248294160,0058518606248294160-1483324878,7,2,2017-01-02 02:41:39.697000+00:00
36,8785420858807543027,8785420858807543027-1483328609,0,1,2017-01-02 03:47:20.227000+00:00
37,6744017627606476298,6744017627606476298-1483330338,4,7,2017-01-02 04:13:06.808000+00:00
38,6405390707378787330,6405390707378787330-1483330625,2,2,2017-01-02 04:18:26.920000+00:00
39,6599200828325030987,6599200828325030987-1483334957,12,4,2017-01-02 05:29:36.409000+00:00
40,726943098212702422,726943098212702422-1483335001,2,2,2017-01-02 05:30:11.931000+00:00
41,3009760562014569567,3009760562014569567-1483337313,1,1,2017-01-02 06:08:56.788000+00:00
42,3282014554463861521,3282014554463861521-1483339977,0,1,2017-01-02 06:57:44.194000+00:00
43,1946673701634423742,1946673701634423742-1483341423,1,2,2017-01-02 07:17:31.846000+00:00
44,4952469725470778105,4952469725470778105-1483345120,4,5,2017-01-02 08:21:05.824000+00:00
45,6940792300089270123,6940792300089270123-1483347295,4,2,2017-01-02 08:57:50.929000+00:00
46,2947067392519653241,2947067392519653241-1483349412,7,2,2017-01-02 09:33:13.929000+00:00
47,5470041816083732543,5470041816083732543-1483350448,7,3,2017-01-02 09:48:13.160000+00:00
48,7761232105915490480,7761232105915490480-1483356733,2,2,2017-01-02 11:33:33.503000+00:00
49,5915891770989403321,5915891770989403321-1483361144,2,2,2017-01-02 12:46:37.285000+00:00
50,2428464991893246039,2428464991893246039-1483361458,3,2,2017-01-02 12:51:26.889000+00:00
51,5373098801571006183,5373098801571006183-1483363643,3,1,2017-01-02 13:33:07.692000+00:00
52,1609645993970621494,1609645993970621494-1483367276,13,7,2017-01-02 14:28:30.457000+00:00
53,2569836676898348538,2569836676898348538-1483367757,4,5,2017-01-02 14:36:37.324000+00:00
54,8618225830626867157,8618225830626867157-1483374639,5,1,2017-01-02 16:30:48.166000+00:00
55,9047035351949289383,9047035351949289383-1483375174,3,1,2017-01-02 16:42:02.391000+00:00
56,2488311584571367914,2488311584571367914-1483377492,2,1,2017-01-02 17:19:21.250000+00:00
57,3932583835525607839,3932583835525607839-1483377682,1,1,2017-01-02 17:22:19.901000+00:00
58,7925884217149710796,7925884217149710796-1483378223,2,2,2017-01-02 17:31:44.538000+00:00
59,8522953026774019258,8522953026774019258-1483378453,3,1,2017-01-02 17:35:08.804000+00:00
60,8885678008062348404,8885678008062348404-1483379211,1,1,2017-01-02 17:48:45.689000+00:00
61,3456428393917464753,3456428393917464753-1483379247,2,2,2017-01-02 17:49:12.402000+00:00
62,4717268166715542876,4717268166715542876-1483380689,5,4,2017-01-02 18:12:06.490000+00:00
63,5401431010389230459,5401431010389230459-1483380905,3,1,2017-01-02 18:20:59.867000+00:00
64,5819061798434761130,5819061798434761130-1483381618,2,1,2017-01-02 18:28:17.766000+00:00
65,2835231557021239159,2835231557021239159-1483382882,1,1,2017-01-02 18:48:51.276000+00:00
66,8986776089661431338,8986776089661431338-1483382263,1,1,2017-01-02 18:54:57.155000+00:00
67,8986776089661431338,8986776089661431338-1483385546,1,1,2017-01-02 19:32:48.272000+00:00
68,84390911152460745,84390911152460745-1483385681,3,1,2017-01-02 19:35:20.313000+00:00
69,8331883106864404121,8331883106864404121-1483387750,2,1,2017-01-02 20:10:39.691000+00:00
70,6379920233928997690,6379920233928997690-1483388551,1,1,2017-01-02 20:23:38.045000+00:00
71,7660609658382919962,7660609658382919962-1483391236,1,1,2017-01-02 21:08:09.892000+00:00
72,4136694066955207834,4136694066955207834-1483391718,1,1,2017-01-02 21:15:47.780000+00:00
73,8053221535802586063,8053221535802586063-1483394181,2,1,2017-01-02 21:56:34.256000+00:00
74,7407216793536005784,7407216793536005784-1483395351,1,1,2017-01-02 22:16:17.116000+00:00
