,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
1008,Home/Drinkware/Water Bottles and Tumblers/,24990000,1204,1787,421,0,23.56,0.0,0.0,63.01,562.05
1009,Home/Drinkware/Water Bottles and Tumblers/,27190000,6,6,3,0,50.0,0.0,0.0,3.0,271.0
1010,Home/Drinkware/Water Bottles and Tumblers/,33990000,80,105,15,0,14.29,0.0,0.0,40.8,1092.0
1011,Home/Electronics/,1200000,28,32,5,0,15.63,0.0,0.0,-107.0,272.0
1012,Home/Electronics/,1500000,402,538,76,0,14.13,0.0,0.0,63.34,647.0
1013,Home/Electronics/,1590000,4,4,1,0,25.0,0.0,0.0,,
1014,Home/Electronics/,1990000,65,83,37,0,44.58,0.0,0.0,7.5,489.0
1015,Home/Electronics/,3990000,24,29,10,0,34.48,0.0,0.0,-11.5,4719.0
1016,Home/Electronics/,4990000,437,591,66,0,11.17,0.0,0.0,96.33,714.17
1017,Home/Electronics/,5590000,3,3,0,0,0.0,,0.0,488.0,
1018,Home/Electronics/,6990000,44,58,9,0,15.52,0.0,0.0,,
1019,Home/Electronics/,7190000,2,2,2,0,100.0,0.0,0.0,,
1020,Home/Electronics/,8790000,8,9,3,0,33.33,0.0,0.0,396.0,
1021,Home/Electronics/,8990000,51,68,13,0,19.12,0.0,0.0,45.25,
1022,Home/Electronics/,10390000,3,3,1,0,33.33,0.0,0.0,,
1023,Home/Electronics/,10990000,105,143,18,0,12.59,0.0,0.0,135.38,194.0
1024,Home/Electronics/,12990000,81,99,12,0,12.12,0.0,0.0,181.0,
1025,Home/Electronics/,13590000,33,37,9,0,24.32,0.0,0.0,177.5,545.0
1026,Home/Electronics/,16990000,387,502,45,0,8.96,0.0,0.0,184.18,678.0
1027,Home/Electronics/,18390000,6,9,0,0,0.0,,0.0,409.0,
1028,Home/Electronics/,22990000,112,148,13,0,8.78,0.0,0.0,37.56,1784.0
1029,Home/Electronics/,27990000,16,16,7,0,43.75,0.0,0.0,12.0,
1030,Home/Electronics/,30390000,1,1,0,0,0.0,,0.0,,
1031,Home/Electronics/,31990000,21,29,0,0,0.0,,0.0,,
1032,Home/Electronics/,34990000,320,466,72,0,15.45,0.0,0.0,96.32,792.25
1033,Home/Electronics/,37990000,21,31,1,0,3.23,0.0,0.0,13.0,
1034,Home/Electronics/,39990000,406,536,26,0,4.85,0.0,0.0,140.94,1168.0
